name,title,author,date,description,categories,url,bib_string,
pappa,'What's up with ur emotions?' Untangling emotional user experience on Second Life and Facebook,Th. Photiadis; V. Papa,2022,Behaviour & Information Technology,Media & Social Media Monitoring,https://doi.org/10.1080/0144929X.2021.2013537,"Photiadis, Th., & Papa, V. (2022). 'What's up with ur emotions?' Untangling emotional user experience on Second Life and Facebook. Behaviour & Information Technology, 1–14. https://doi.org/10.1080/0144929X.2021.2013537",
pappa,Journalism education in the post-truth era: An exploration of the voices of journalism students in Greece and Cyprus,S. Theodosiadou; P-L. Spyridou; N. Panayiotou; D. Milioni; V. Papa,2021,Media Practice and Education,Not applicable,https://doi.org/10.1080/25741136.2021.1919833,"Theodosiadou, S., Spyridou, P-L., Panayiotou, N., Milioni, D., & Papa, V. (2021). Journalism education in the post-truth era. Media Practice and Education, 22(1), 1–14. https://doi.org/10.1080/25741136.2021.1919833",
pappa,Algorithmic Curation and Users' Civic Attitudes: A Study on Facebook News Feed Results,V. Papa; Th. Photiadis,2021,Information,Media & Social Media Monitoring,https://doi.org/10.3390/info12120522,"Papa, V., & Photiadis, Th. (2021). Algorithmic Curation and Users' Civic Attitudes: A Study on Facebook News Feed Results. Information, 12(522), 1–13. https://doi.org/10.3390/info12120522",
pappa,Recurrent narratives around the COVID-19 crisis in social networks: A case study analysis on Facebook,V. Papa; Th. Maniou,2020,Tripodos,Media & Social Media Monitoring,https://doi.org/10.51698/tripodos.2020.47p11-28,"Papa, V., & Maniou, Th. (2020). Recurrent narratives around the COVID-19 crisis in social networks. Tripodos, 27(2), 11–28. https://doi.org/10.51698/tripodos.2020.47p11-28",
pappa,Salience of Fakeness: Experimental Evidence on Readers' Distinction between Mainstream Media Content and Altered News Stories,Th. Maniou; V. Papa; Ph. Bantimaroudis,2020,Journal of Communication: Media Watch,Applied Political Communication,,"""Maniou, Th., Papa, V., & Bantimaroudis, Ph. (2020). Salience of Fakeness. Journal of Communication: Media Watch, 11(3), 386–400.""",
pappa,'To all activists: please post and share your story': Renewing understandings on civic participation and the role of Facebook in the Indignados movement,V. Papa,2017,European Journal of Communication,Applied Political Communication,https://doi.org/10.1177/0267323117737953,"Papa, V. (2017). 'To all activists: please post and share your story'. European Journal of Communication, 32(6), 583–597. https://doi.org/10.1177/0267323117737953",
triga,"The Waning of Ideology? Presidential elections in the Republic of Cyprus, 5 February 2023",Vasiliki Triga; Nikandros Ioannidis; Constantinos Djouvas,2024,South European Society and Politics,Applied Political Communication,https://doi.org/10.1080/13608746.2024.2304445,"Triga, V., Ioannidis, N., & Djouvas, C. (2024). The Waning of Ideology? Presidential elections in the Republic of Cyprus, 5 February 2023. South European Society and Politics, 28(2).",
triga,Creating public value in regional policy. Bringing citizens back in,Carlos Mendez; Andreja Pegan; Vasiliki Triga,2024,Public Management Review,Applied Political Communication,https://doi.org/10.1080/14719037.2022.2126880,"Mendez, C., Pegan, A., & Triga, V. (2024). Creating public value in regional policy. Bringing citizens back in. Public Management Review, 26, 811-835.",
triga,Many losers– One winner? An examination of vote switching to the AfD in the 2017 German federal election using VAA data,L. Constantin Wurthmann; Stefan Marschall; Vasilis Manavopoulos; Vasiliki Triga,2021,Party Politics,Applied Political Communication,https://doi.org/10.1177/1354068820914959,"Wurthmann, L. C., Marschall, S., Triga, V., & Manavopoulos, V. (2021). Many losers– One winner? An examination of vote switching to the AfD in the 2017 German federal election using VAA data. Party Politics, 27(5), 870-882.",
triga,EU Cohesion Policy under the Media Spotlight: Exploring Territorial and Temporal Patterns in News Coverage and Tone,Carlos Mendez; Fernando Mendez; Vasiliki Triga; Juan Miguel Carrascosa,2020,Journal of Common Market Studies (JCMS),Media & Social Media Monitoring,https://doi.org/10.1111/jcms.13016,"Mendez, C., Mendez, F., Triga, V., & Carrascosa, J. M. (2020). EU Cohesion Policy under the Media Spotlight: Exploring Territorial and Temporal Patterns in News Coverage and Tone. Journal of Common Market Studies, 58(4), 1034-1055.",
triga,Does mode of administration impact the quality of data? Comparing a traditional survey versus an online survey via a Voting Advice Application,Vasiliki Triga; Vasilis Manavopoulos,2019,Survey Research Methods,Applied Political Communication,https://doi.org/10.18148/srm/2019.v13i2.7392,"Triga, V., & Manavopoulos, V. (2019). Does mode of administration impact the quality of data? Comparing a traditional survey versus an online survey via a Voting Advice Application. Survey Research Methods, 13, 181-194.",
triga,The Impact of VAAs on (non-Voting) Aspects of Political Participation: Insights from Panel Data Collected During the 2017 German Elections Campaign,Vasilis Manavopoulos; Vasiliki Triga; Stefan Marschall; Lucas Constantin Wurthmann,2019,"Statistics, Policy and Politics",Applied Political Communication,https://doi.org/10.1515/spp-2018-0008,"Manavopoulos, V., Triga, V., Marschall, S., & Wurthmann, C. (2019). The Impact of VAAs on (non-Voting) Aspects of Political Participation: Insights from Panel Data Collected During the 2017 German Federal Elections Campaign. Statistics, Policy and Politics, 9(2), 105-134.",
triga,Post-crisis normalisation? The 2018 Presidential Elections,Vasiliki Triga; Fernando Mendez; Constantinos Djouvas,2018,Southern European Society and Politics,Applied Political Communication,https://doi.org/10.1080/13608746.2018.1511347,"Triga, V., Mendez, F., & Djouvas, C. (2018). Post-crisis normalisation? The 2018 Presidential Elections. Southern European Society and Politics, 24, 103-127.",
triga,Parties and Change in Post-bailout Cyprus: The May 2016 Parliamentary Elections,Vasiliki Triga,2017,Southern European Society and Politics,Applied Political Communication,https://doi.org/10.1080/13608746.2017.1312768,"Triga, V. (2017). Parties and Change in Post-bailout Cyprus: The May 2016 Parliamentary Elections. Southern European Society and Politics, 22, 261-279.",
triga,Referendums and the European Union: A comparative inquiry,Fernando Mendez; Mario Mendez; Vasiliki Triga,2014,Cambridge University Press,Applied Political Communication,https://doi.org/10.1017/CBO9781139524117,"Mendez, F., Mendez, M., & Triga, V. (2014). Referendums and the European Union: A comparative inquiry. Cambridge University Press.",
triga,"'Neither agree, nor disagree': A critical analysis of the middle answer category in Voting Advice Applications",Aphrodite Baka; Lia Figgou; Vasiliki Triga,2012,International Journal of Electronic Governance,Applied Political Communication,https://doi.org/10.1504/IJEG.2012.051306,"Baka, A., Figgou, L., & Triga, V. (2012). 'Neither agree, nor disagree': A critical analysis of the middle answer category in Voting Advice Applications. International Journal of Electronic Governance, 5, 244-263.",
